nation,o_year,sum_profit
ROMANIA,1996,27240610066.267105
ROMANIA,1995,27248968893.93176
ROMANIA,1994,27194295365.863224
ROMANIA,1993,27212096931.414978
ROMANIA,1992,27387694556.6915
RUSSIA,1998,26633412177.483032
RUSSIA,1997,26771134473.307842
RUSSIA,1996,26742355725.494938
RUSSIA,1995,26615562496.603703
RUSSIA,1994,26731913241.99162
RUSSIA,1993,26567096807.48376
RUSSIA,1992,26710550402.096424
SAUDI ARABIA,1998,26713290298.972084
SAUDI ARABIA,1997,26545197658.972904
SAUDI ARABIA,1996,26759129768.590775
SAUDI ARABIA,1995,26608399735.045864
SAUDI ARABIA,1994,26684884596.907543
SAUDI ARABIA,1993,26582937030.80874
SAUDI ARABIA,1992,26595243102.146664
UNITED KINGDOM,1998,26020519234.508553
UNITED KINGDOM,1997,25966682554.4376
UNITED KINGDOM,1996,26025798967.29073
UNITED KINGDOM,1995,25838747071.876953
UNITED KINGDOM,1994,25935089972.56208
UNITED KINGDOM,1993,25971029246.281105
UNITED KINGDOM,1992,26133866007.22567
UNITED STATES,1998,26827117319.149815
UNITED STATES,1997,26892706658.062775
UNITED STATES,1996,26974555587.964493
UNITED STATES,1995,26810436588.539497
UNITED STATES,1994,26800531765.06109
UNITED STATES,1993,26810746396.87117
UNITED STATES,1992,26903239557.3008
VIETNAM,1998,26611277395.536568
VIETNAM,1997,26294451223.208252
VIETNAM,1996,26585372949.770798
VIETNAM,1995,26412301227.65635
VIETNAM,1994,26280585037.78439
VIETNAM,1993,26321458431.578896
VIETNAM,1992,26539551763.583866
