c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,total_quantity
Customer#000877001,877001,13459879,1994-12-17,499958.91351476667,302.58283078059196
Customer#001428891,1428891,6173509,1996-11-14,499958.3982768224,601.6799453380046
Customer#000461157,461157,12843663,1993-08-19,499957.9643227833,360.2886929044073
Customer#000938211,938211,10180867,1992-10-20,499956.2129110772,336.062784338471
Customer#001233876,1233876,1363625,1995-09-27,499955.09642766946,362.2730294235074
Customer#000794330,794330,14636688,1997-04-03,499954.15672461817,316.4031653613829
Customer#000487146,487146,10134676,1998-12-19,499953.3363426753,362.7907789175702
Customer#000686224,686224,11462686,1994-04-23,499952.3594865111,304.74981400303176
Customer#000501338,501338,6818425,1992-06-20,499952.20027067483,311.97160766192127
Customer#001355644,1355644,5978432,1993-03-03,499951.8591812748,323.2909057680703
Customer#000235403,235403,6553542,1995-06-04,499950.12484948593,436.8499298859564
Customer#001338344,1338344,793902,1993-12-01,499943.0830808055,399.4316648307271
Customer#000737014,737014,13496241,1996-12-22,499942.4698374099,431.4175526906224
Customer#000949553,949553,3679933,1994-05-26,499942.4009410967,471.32398656109467
Customer#001396803,1396803,3868524,1994-04-15,499942.36167089926,360.83244638365403
Customer#001136284,1136284,12421294,1994-10-27,499942.2912753637,311.0558822773189
Customer#001120249,1120249,13331851,1995-08-28,499938.5343163409,396.898037958836
Customer#001201108,1201108,9079317,1992-02-09,499937.79110971966,320.0318402272909
Customer#000609445,609445,8700898,1994-01-14,499936.8362097401,324.96796621313337
Customer#000105868,105868,12397211,1997-02-08,499936.0035309822,380.28286217569143
Customer#001244358,1244358,1167614,1997-11-15,499935.2625984645,313.28297824528727
Customer#001482140,1482140,9461673,1993-07-28,499931.15775546705,335.10760730012385
Customer#001473009,1473009,12146441,1994-05-02,499930.8654372084,301.95755299742956
Customer#001348479,1348479,9348797,1995-08-31,499929.0366539329,311.84814287982476
Customer#000506595,506595,5288701,1997-08-15,499928.82186920394,393.6092379902724
Customer#000349928,349928,13112419,1995-10-16,499928.5644722556,398.8886030727366
Customer#000833417,833417,11153943,1998-09-09,499928.1463846607,852.0049373586685
Customer#001003768,1003768,8603331,1997-09-08,499927.9598109554,308.4265504080245
Customer#001051608,1051608,1673895,1997-03-07,499926.85365964536,362.60968972563273
Customer#000126830,126830,4978515,1994-05-02,499926.45156154624,356.2604063701226
Customer#001283256,1283256,17476,1996-04-12,499924.9954193624,310.04205645554504
Customer#001108456,1108456,10212606,1998-05-22,499924.57991198817,316.17887798809414
Customer#000014695,14695,2601078,1998-03-07,499923.04671711894,433.48280803415383
Customer#000601257,601257,13877881,1993-09-02,499922.4559832095,311.9926945199267
Customer#000754639,754639,7023976,1998-12-27,499921.8239174566,387.7522239935167
Customer#001048771,1048771,6690838,1993-11-16,499920.48703644227,316.3209586103919
Customer#000185938,185938,1321141,1992-11-01,499920.4292975187,342.74955262013754
Customer#001224449,1224449,11980632,1992-01-26,499919.4475628321,337.00231335048466
Customer#001269911,1269911,9564857,1993-07-31,499918.5289052461,369.61000654379467
Customer#000878743,878743,6592436,1998-01-02,499917.87955710513,481.1164834784563
Customer#000962829,962829,2702713,1993-12-07,499917.53739726235,353.23236386614013
Customer#000492127,492127,13424774,1996-09-12,499915.9712829816,494.4655927405204
Customer#000499409,499409,2310848,1994-05-09,499914.63652225333,315.1072111051017
Customer#000621223,621223,12709551,1996-09-12,499914.56539107254,429.5657739629258
Customer#000792495,792495,10292786,1992-12-20,499913.20196397544,315.59689481789013
Customer#001161222,1161222,802629,1998-05-30,499912.59531774017,343.6783774808286
Customer#000625025,625025,7426279,1997-11-18,499912.4483249381,307.9683734372837
Customer#000492448,492448,13228620,1998-12-06,499912.34439356555,448.16111505843554
Customer#000915235,915235,12849857,1998-12-22,499911.86158904363,673.0658355407393
Customer#000188466,188466,1517220,1993-10-08,499911.73303002515,335.9013974642408
Customer#001016863,1016863,9027354,1998-10-26,499911.11674852937,400.2730057651712
Customer#001207453,1207453,11732201,1995-07-29,499910.8831663889,381.5167163481024
Customer#000845180,845180,9229950,1997-07-03,499910.54488258035,581.0009792916784
Customer#000976419,976419,3293738,1996-04-16,499910.0114382692,605.8877621207263
Customer#001202917,1202917,639668,1993-06-23,499909.90924103634,318.7051330358289
Customer#001226895,1226895,4030382,1993-08-29,499906.79468682164,325.59000142293223
Customer#000096205,96205,14549349,1994-04-07,499906.7116485639,326.7564444761598
Customer#001251280,1251280,9067118,1997-12-06,499905.77779836656,339.1839133810834
Customer#001003904,1003904,4252154,1993-02-07,499904.94327481696,305.90119407020927
Customer#001219964,1219964,11237816,1992-07-15,499904.0763195695,318.74200507249435
Customer#000039459,39459,13293244,1998-12-03,499903.68066308106,500.2432681036465
