p_brand,p_type,p_size,supplier_cnt
Brand#22,STANDARD ANODIZED TIN,23,862
Brand#22,STANDARD ANODIZED TIN,45,862
Brand#24,SMALL PLATED TIN,49,862
Brand#25,PROMO BURNISHED STEEL,14,862
Brand#14,SMALL PLATED NICKEL,3,861
Brand#14,SMALL PLATED NICKEL,9,861
Brand#15,STANDARD ANODIZED TIN,9,861
Brand#21,STANDARD ANODIZED STEEL,3,861
Brand#13,STANDARD ANODIZED TIN,49,860
Brand#14,STANDARD ANODIZED NICKEL,45,860
Brand#14,STANDARD ANODIZED STEEL,14,860
Brand#21,SMALL PLATED NICKEL,3,860
Brand#24,STANDARD ANODIZED TIN,9,860
Brand#11,PROMO BURNISHED BRASS,49,859
Brand#11,STANDARD ANODIZED BRASS,45,858
Brand#13,SMALL PLATED TIN,23,858
Brand#22,STANDARD ANODIZED BRASS,49,858
Brand#23,PROMO BURNISHED STEEL,45,858
Brand#24,PROMO BURNISHED BRASS,49,858
Brand#11,SMALL PLATED TIN,19,857
Brand#23,SMALL PLATED NICKEL,49,857
Brand#23,STANDARD ANODIZED NICKEL,9,857
Brand#23,STANDARD ANODIZED NICKEL,14,857
Brand#23,STANDARD ANODIZED NICKEL,45,857
Brand#23,STANDARD ANODIZED STEEL,19,857
Brand#13,STANDARD ANODIZED TIN,45,856
Brand#14,STANDARD ANODIZED NICKEL,9,856
Brand#13,PROMO BURNISHED BRASS,49,855
Brand#15,PROMO BURNISHED BRASS,3,855
Brand#21,PROMO BURNISHED STEEL,14,855
Brand#23,PROMO BURNISHED STEEL,19,855
Brand#15,PROMO BURNISHED BRASS,14,854
Brand#22,STANDARD ANODIZED TIN,19,854
Brand#25,PROMO BURNISHED STEEL,9,854
Brand#12,STANDARD ANODIZED NICKEL,36,853
Brand#14,PROMO BURNISHED STEEL,49,853
Brand#15,STANDARD ANODIZED BRASS,19,853
Brand#23,SMALL PLATED NICKEL,19,853
Brand#21,STANDARD ANODIZED NICKEL,14,852
Brand#12,PROMO BURNISHED STEEL,14,851
Brand#13,PROMO BURNISHED BRASS,45,851
Brand#11,SMALL PLATED TIN,3,850
Brand#11,SMALL PLATED TIN,49,850
Brand#12,SMALL PLATED NICKEL,49,850
Brand#14,STANDARD ANODIZED NICKEL,14,850
Brand#23,SMALL PLATED NICKEL,45,850
Brand#24,SMALL PLATED TIN,14,850
Brand#11,SMALL PLATED TIN,36,849
Brand#12,STANDARD ANODIZED STEEL,36,849
Brand#13,PROMO BURNISHED BRASS,9,849
Brand#15,STANDARD ANODIZED TIN,23,849
Brand#24,PROMO BURNISHED BRASS,19,849
Brand#22,STANDARD ANODIZED BRASS,23,848
Brand#11,PROMO BURNISHED BRASS,23,847
Brand#14,PROMO BURNISHED STEEL,19,847
Brand#15,STANDARD ANODIZED BRASS,49,847
Brand#24,SMALL PLATED TIN,23,847
Brand#12,PROMO BURNISHED STEEL,3,846
Brand#13,STANDARD ANODIZED BRASS,3,846
Brand#14,STANDARD ANODIZED NICKEL,3,846
Brand#22,SMALL PLATED TIN,49,846
Brand#22,STANDARD ANODIZED BRASS,14,846
Brand#23,STANDARD ANODIZED NICKEL,23,846
Brand#24,STANDARD ANODIZED BRASS,49,846
Brand#25,STANDARD ANODIZED NICKEL,3,846
Brand#11,STANDARD ANODIZED BRASS,19,845
Brand#14,STANDARD ANODIZED STEEL,23,845
Brand#22,SMALL PLATED TIN,9,845
Brand#24,SMALL PLATED TIN,3,845
Brand#11,PROMO BURNISHED BRASS,19,844
Brand#11,SMALL PLATED TIN,23,844
Brand#11,STANDARD ANODIZED TIN,3,844
Brand#12,SMALL PLATED NICKEL,45,844
Brand#22,STANDARD ANODIZED TIN,49,844
Brand#12,SMALL PLATED NICKEL,19,843
Brand#12,STANDARD ANODIZED NICKEL,3,843
Brand#12,STANDARD ANODIZED STEEL,49,843
Brand#14,SMALL PLATED NICKEL,23,843
Brand#14,STANDARD ANODIZED STEEL,3,843
Brand#15,SMALL PLATED TIN,9,843
Brand#21,STANDARD ANODIZED NICKEL,3,843
Brand#11,PROMO BURNISHED BRASS,45,842
Brand#11,STANDARD ANODIZED BRASS,14,842
Brand#12,PROMO BURNISHED STEEL,49,842
Brand#21,PROMO BURNISHED STEEL,23,842
Brand#24,STANDARD ANODIZED TIN,14,842
Brand#11,STANDARD ANODIZED TIN,36,841
Brand#12,SMALL PLATED NICKEL,14,841
Brand#13,SMALL PLATED TIN,49,841
Brand#15,STANDARD ANODIZED BRASS,36,841
Brand#21,PROMO BURNISHED STEEL,45,841
Brand#22,STANDARD ANODIZED BRASS,19,841
Brand#22,STANDARD ANODIZED TIN,9,841
Brand#11,SMALL PLATED TIN,14,840
Brand#15,PROMO BURNISHED BRASS,9,840
Brand#15,SMALL PLATED TIN,36,840
Brand#15,STANDARD ANODIZED BRASS,23,840
Brand#21,STANDARD ANODIZED STEEL,9,840
Brand#11,SMALL PLATED TIN,45,839
Brand#21,SMALL PLATED NICKEL,19,839
Brand#22,STANDARD ANODIZED TIN,14,839
Brand#21,SMALL PLATED NICKEL,9,838
Brand#22,SMALL PLATED TIN,23,838
Brand#22,STANDARD ANODIZED BRASS,9,838
Brand#23,STANDARD ANODIZED STEEL,14,838
Brand#24,STANDARD ANODIZED TIN,49,838
Brand#21,PROMO BURNISHED STEEL,49,837
Brand#24,STANDARD ANODIZED TIN,23,837
Brand#25,SMALL PLATED NICKEL,23,837
Brand#11,STANDARD ANODIZED BRASS,9,836
Brand#12,SMALL PLATED NICKEL,3,836
Brand#12,STANDARD ANODIZED STEEL,3,836
Brand#14,SMALL PLATED NICKEL,14,836
Brand#14,SMALL PLATED NICKEL,36,836
Brand#22,PROMO BURNISHED BRASS,9,836
Brand#24,PROMO BURNISHED BRASS,14,836
Brand#25,PROMO BURNISHED STEEL,36,836
Brand#11,PROMO BURNISHED BRASS,14,835
Brand#11,STANDARD ANODIZED TIN,9,835
Brand#21,SMALL PLATED NICKEL,14,835
Brand#21,STANDARD ANODIZED NICKEL,36,835
Brand#23,STANDARD ANODIZED NICKEL,36,835
Brand#25,PROMO BURNISHED STEEL,3,835
Brand#25,STANDARD ANODIZED NICKEL,23,835
Brand#25,STANDARD ANODIZED STEEL,36,835
Brand#12,STANDARD ANODIZED NICKEL,14,834
Brand#13,STANDARD ANODIZED BRASS,49,834
Brand#15,SMALL PLATED TIN,23,834
Brand#21,SMALL PLATED NICKEL,23,834
Brand#21,STANDARD ANODIZED STEEL,45,834
Brand#22,PROMO BURNISHED BRASS,36,834
Brand#22,SMALL PLATED TIN,3,834
Brand#23,PROMO BURNISHED STEEL,36,834
Brand#24,STANDARD ANODIZED BRASS,45,834
Brand#25,STANDARD ANODIZED STEEL,3,834
Brand#12,SMALL PLATED NICKEL,36,833
Brand#14,PROMO BURNISHED STEEL,3,833
Brand#15,PROMO BURNISHED BRASS,19,833
Brand#23,SMALL PLATED NICKEL,36,833
Brand#24,STANDARD ANODIZED BRASS,3,833
Brand#25,STANDARD ANODIZED NICKEL,14,833
Brand#25,STANDARD ANODIZED STEEL,19,833
Brand#25,STANDARD ANODIZED STEEL,49,833
Brand#15,STANDARD ANODIZED TIN,36,832
Brand#22,SMALL PLATED TIN,14,832
Brand#23,PROMO BURNISHED STEEL,23,832
Brand#23,STANDARD ANODIZED STEEL,36,832
Brand#13,STANDARD ANODIZED TIN,23,831
Brand#15,STANDARD ANODIZED BRASS,45,831
Brand#21,SMALL PLATED NICKEL,45,831
Brand#21,STANDARD ANODIZED NICKEL,19,831
Brand#23,PROMO BURNISHED STEEL,49,831
Brand#13,STANDARD ANODIZED TIN,14,830
Brand#15,STANDARD ANODIZED BRASS,3,830
Brand#11,STANDARD ANODIZED BRASS,23,829
Brand#11,STANDARD ANODIZED TIN,49,829
Brand#13,SMALL PLATED TIN,9,829
Brand#15,SMALL PLATED TIN,19,829
Brand#24,STANDARD ANODIZED BRASS,23,829
Brand#24,STANDARD ANODIZED TIN,36,829
Brand#12,STANDARD ANODIZED STEEL,19,828
Brand#13,STANDARD ANODIZED BRASS,14,828
Brand#15,STANDARD ANODIZED TIN,19,828
Brand#21,SMALL PLATED NICKEL,36,828
Brand#25,PROMO BURNISHED STEEL,19,828
Brand#25,SMALL PLATED NICKEL,9,828
Brand#12,STANDARD ANODIZED NICKEL,49,827
Brand#14,STANDARD ANODIZED STEEL,9,827
Brand#21,PROMO BURNISHED STEEL,9,827
Brand#22,SMALL PLATED TIN,19,827
Brand#25,PROMO BURNISHED STEEL,23,827
Brand#25,SMALL PLATED NICKEL,19,827
Brand#14,PROMO BURNISHED STEEL,23,826
Brand#14,STANDARD ANODIZED NICKEL,36,826
Brand#22,STANDARD ANODIZED BRASS,36,826
Brand#25,STANDARD ANODIZED STEEL,45,826
Brand#24,STANDARD ANODIZED BRASS,14,825
Brand#11,STANDARD ANODIZED BRASS,36,824
Brand#22,PROMO BURNISHED BRASS,14,824
Brand#12,PROMO BURNISHED STEEL,36,823
Brand#12,STANDARD ANODIZED NICKEL,23,823
Brand#13,SMALL PLATED TIN,14,823
Brand#13,STANDARD ANODIZED BRASS,45,823
Brand#11,STANDARD ANODIZED TIN,14,822
Brand#22,SMALL PLATED TIN,45,822
Brand#12,PROMO BURNISHED STEEL,9,821
Brand#14,PROMO BURNISHED STEEL,45,821
Brand#12,SMALL PLATED NICKEL,23,820
Brand#15,PROMO BURNISHED BRASS,36,820
Brand#21,STANDARD ANODIZED NICKEL,9,820
Brand#23,STANDARD ANODIZED NICKEL,3,820
Brand#24,STANDARD ANODIZED TIN,3,820
Brand#25,SMALL PLATED NICKEL,36,820
Brand#23,SMALL PLATED NICKEL,23,819
Brand#12,PROMO BURNISHED STEEL,19,818
Brand#15,SMALL PLATED TIN,49,818
Brand#21,PROMO BURNISHED STEEL,19,818
Brand#23,SMALL PLATED NICKEL,14,818
Brand#25,SMALL PLATED NICKEL,14,818
Brand#13,SMALL PLATED TIN,36,817
Brand#21,STANDARD ANODIZED STEEL,36,817
Brand#15,STANDARD ANODIZED TIN,3,816
Brand#25,STANDARD ANODIZED NICKEL,49,816
Brand#24,STANDARD ANODIZED TIN,19,815
Brand#14,PROMO BURNISHED STEEL,9,814
Brand#15,STANDARD ANODIZED BRASS,9,814
Brand#23,STANDARD ANODIZED NICKEL,49,814
Brand#23,STANDARD ANODIZED STEEL,49,814
Brand#24,SMALL PLATED TIN,19,814
Brand#21,SMALL PLATED NICKEL,49,812
Brand#22,PROMO BURNISHED BRASS,23,812
Brand#13,STANDARD ANODIZED BRASS,9,810
Brand#13,STANDARD ANODIZED BRASS,36,810
Brand#11,STANDARD ANODIZED TIN,45,809
Brand#21,STANDARD ANODIZED STEEL,19,809
Brand#23,STANDARD ANODIZED STEEL,9,809
Brand#11,STANDARD ANODIZED BRASS,49,808
Brand#14,SMALL PLATED NICKEL,19,808
Brand#22,STANDARD ANODIZED BRASS,45,808
Brand#11,PROMO BURNISHED BRASS,36,807
Brand#13,STANDARD ANODIZED TIN,36,807
Brand#22,STANDARD ANODIZED BRASS,3,807
Brand#24,SMALL PLATED TIN,45,807
Brand#25,PROMO BURNISHED STEEL,45,807
Brand#12,PROMO BURNISHED STEEL,45,806
Brand#21,STANDARD ANODIZED STEEL,14,806
Brand#22,STANDARD ANODIZED TIN,3,806
Brand#21,STANDARD ANODIZED NICKEL,23,805
Brand#23,STANDARD ANODIZED STEEL,23,804
Brand#15,PROMO BURNISHED BRASS,45,803
Brand#24,PROMO BURNISHED BRASS,23,803
Brand#14,SMALL PLATED NICKEL,49,798
Brand#24,PROMO BURNISHED BRASS,45,798
Brand#12,STANDARD ANODIZED STEEL,45,797
Brand#21,PROMO BURNISHED STEEL,36,790
Brand#15,SMALL PLATED TIN,14,788
Brand#14,STANDARD ANODIZED STEEL,45,786
